2025-08-25T10:51:28.794191 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Running command 'msiexec /i C:/Temp/PuppetTest/PuppetAgent.msi /qn /norestart PUPPET_MASTER_SERVER=puppet.it.epicgames.com' on localhost
2025-08-25T10:51:31.862713 INFO   [exec-worker-1] [Bolt::Executor] {"target":"localhost","action":"command","object":"msiexec /i C:/Temp/PuppetTest/PuppetAgent.msi /qn /norestart PUPPET_MASTER_SERVER=puppet.it.epicgames.com","status":"success","value":{"stdout":"T\u0000h\u0000i\u0000s\u0000 \u0000i\u0000n\u0000s\u0000t\u0000a\u0000l\u0000l\u0000a\u0000t\u0000i\u0000o\u0000n\u0000 \u0000p\u0000a\u0000c\u0000k\u0000a\u0000g\u0000e\u0000 \u0000c\u0000o\u0000u\u0000l\u0000d\u0000 \u0000n\u0000o\u0000t\u0000 \u0000b\u0000e\u0000 \u0000o\u0000p\u0000e\u0000n\u0000e\u0000d\u0000.\u0000 \u0000 \u0000V\u0000e\u0000r\u0000i\u0000f\u0000y\u0000 \u0000t\u0000h\u0000a\u0000t\u0000 \u0000t\u0000h\u0000e\u0000 \u0000p\u0000a\u0000c\u0000k\u0000a\u0000g\u0000e\u0000 \u0000e\u0000x\u0000i\u0000s\u0000t\u0000s\u0000 \u0000a\u0000n\u0000d\u0000 \u0000t\u0000h\u0000a\u0000t\u0000 \u0000y\u0000o\u0000u\u0000 \u0000c\u0000a\u0000n\u0000 \u0000a\u0000c\u0000c\u0000e\u0000s\u0000s\u0000 \u0000i\u0000t\u0000,\u0000 \u0000o\u0000r\u0000 \u0000c\u0000o\u0000n\u0000t\u0000a\u0000c\u0000t\u0000 \u0000t\u0000h\u0000e\u0000 \u0000a\u0000p\u0000p\u0000l\u0000i\u0000c\u0000a\u0000t\u0000i\u0000o\u0000n\u0000 \u0000v\u0000e\u0000n\u0000d\u0000o\u0000r\u0000 \u0000t\u0000o\u0000 \u0000v\u0000e\u0000r\u0000i\u0000f\u0000y\u0000 \u0000t\u0000h\u0000a\u0000t\u0000 \u0000t\u0000h\u0000i\u0000s\u0000 \u0000i\u0000s\u0000 \u0000a\u0000 \u0000v\u0000a\u0000l\u0000i\u0000d\u0000 \u0000W\u0000i\u0000n\u0000d\u0000o\u0000w\u0000s\u0000 \u0000I\u0000n\u0000s\u0000t\u0000a\u0000l\u0000l\u0000e\u0000r\u0000 \u0000p\u0000a\u0000c\u0000k\u0000a\u0000g\u0000e\u0000.\u0000\n\u0000\r\u0000","stderr":"","merged_output":"T\u0000h\u0000i\u0000s\u0000 \u0000i\u0000n\u0000s\u0000t\u0000a\u0000l\u0000l\u0000a\u0000t\u0000i\u0000o\u0000n\u0000 \u0000p\u0000a\u0000c\u0000k\u0000a\u0000g\u0000e\u0000 \u0000c\u0000o\u0000u\u0000l\u0000d\u0000 \u0000n\u0000o\u0000t\u0000 \u0000b\u0000e\u0000 \u0000o\u0000p\u0000e\u0000n\u0000e\u0000d\u0000.\u0000 \u0000 \u0000V\u0000e\u0000r\u0000i\u0000f\u0000y\u0000 \u0000t\u0000h\u0000a\u0000t\u0000 \u0000t\u0000h\u0000e\u0000 \u0000p\u0000a\u0000c\u0000k\u0000a\u0000g\u0000e\u0000 \u0000e\u0000x\u0000i\u0000s\u0000t\u0000s\u0000 \u0000a\u0000n\u0000d\u0000 \u0000t\u0000h\u0000a\u0000t\u0000 \u0000y\u0000o\u0000u\u0000 \u0000c\u0000a\u0000n\u0000 \u0000a\u0000c\u0000c\u0000e\u0000s\u0000s\u0000 \u0000i\u0000t\u0000,\u0000 \u0000o\u0000r\u0000 \u0000c\u0000o\u0000n\u0000t\u0000a\u0000c\u0000t\u0000 \u0000t\u0000h\u0000e\u0000 \u0000a\u0000p\u0000p\u0000l\u0000i\u0000c\u0000a\u0000t\u0000i\u0000o\u0000n\u0000 \u0000v\u0000e\u0000n\u0000d\u0000o\u0000r\u0000 \u0000t\u0000o\u0000 \u0000v\u0000e\u0000r\u0000i\u0000f\u0000y\u0000 \u0000t\u0000h\u0000a\u0000t\u0000 \u0000t\u0000h\u0000i\u0000s\u0000 \u0000i\u0000s\u0000 \u0000a\u0000 \u0000v\u0000a\u0000l\u0000i\u0000d\u0000 \u0000W\u0000i\u0000n\u0000d\u0000o\u0000w\u0000s\u0000 \u0000I\u0000n\u0000s\u0000t\u0000a\u0000l\u0000l\u0000e\u0000r\u0000 \u0000p\u0000a\u0000c\u0000k\u0000a\u0000g\u0000e\u0000.\u0000\n\u0000\r\u0000","exit_code":0}}
2025-08-25T10:51:31.863772 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: command 'msiexec /i C:/Temp/PuppetTest/PuppetAgent.msi /qn /norestart PUPPET_MASTER_SERVER=puppet.it.epicgames.com' with 0 failures in 3.07 sec
2025-08-25T10:51:31.864128 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: command 'powershell.exe -Command "Get-Service *puppet* | Stop-Service puppet -ErrorAction SilentlyContinue"' on localhost
2025-08-25T10:51:31.863836 INFO   [exec-worker-1] [Bolt::Executor] Running command 'powershell.exe -Command "Get-Service *puppet* | Stop-Service puppet -ErrorAction SilentlyContinue"' on ["localhost"]
2025-08-25T10:51:31.864311 DEBUG  [exec-worker-1] [Bolt::Transport::Local] Running command 'powershell.exe -Command "Get-Service *puppet* | Stop-Service puppet -ErrorAction SilentlyContinue"' on localhost
2025-08-25T10:51:35.837251 INFO   [exec-worker-1] [Bolt::Executor] {"target":"localhost","action":"command","object":"powershell.exe -Command \"Get-Service *puppet* | Stop-Service puppet -ErrorAction SilentlyContinue\"","status":"success","value":{"stdout":"","stderr":"","merged_output":"","exit_code":0}}
2025-08-25T10:51:35.838181 INFO   [event-publisher] [Bolt::Outputter::Logger] Finished: command 'powershell.exe -Command "Get-Service *puppet* | Stop-Service puppet -ErrorAction SilentlyContinue"' with 0 failures in 3.97 sec
2025-08-25T10:51:35.838535 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: command 'powershell.exe -Command "Get-Service *puppet* | Set-Service puppet -StartupType Manual "' on localhost
2025-08-25T10:51:35.838256 INFO   [exec-worker-1] [Bolt::Executor] Running command 'powershell.exe -Command "Get-Service *puppet* | Set-Service puppet -StartupType Manual "' on ["localhost"]
